,movie_id,studio_producer,directors,authors,production_company
282,,"Lawrence Kasdan, Charles Okun, and Michael Grillo",Lawrence Kasdan,"Anne Tyler, Frank Galati, Lawrence Kasdan",Warner Home Video
283,,Norma Heyman and Hank Moonjean,Stephen Frears,Christopher Hampton,Warner Home Video
284,,Frederick Zollo and Robert F. Colesberry,Alan Parker,"Chris Gerolmo, Chris Geroimo, Alan Parker",Orion Pictures Corporation
285,,Douglas Wick,Mike Nichols,Kevin Wade,20th Century Fox
286,,A. Kitman Ho and Oliver Stone,Oliver Stone,"Oliver Stone, Ron Kovic, Dave Freeman",Universal Pictures
287,,"Steven Haft, Paul Junger Witt, and Tony Thomas",Peter Weir,Tom Schulman,Buena Vista Pictures
288,,Lawrence Gordon and Charles Gordon,Phil Alden Robinson,Phil Alden Robinson,Universal Pictures
289,,Noel Pearson,Jim Sheridan,"Shane Connaughton, Jim Sheridan",Miramax Films
290,20701,Walter Parkes and Lawrence Lasker,Penny Marshall,"Steven Zaillian, Paul W. Shapiro",Columbia Pictures
291,13930,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
292,15086,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
293,16235,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
294,21145,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
295,22397,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
296,26864,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
297,27655,Lisa Weinstein,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures
298,,"Edward Saxon, Kenneth Utt, and Ron Bozman",Jonathan Demme,Ted Tally,Orion Pictures Corporation
299,4719,Don Hahn,Gary Trousdale,,Buena Vista
300,4720,Don Hahn,Gary Trousdale,,Buena Vista
301,4721,Don Hahn,Gary Trousdale,,Buena Vista
302,8752,Don Hahn,Gary Trousdale,,Buena Vista
303,8753,Don Hahn,Gary Trousdale,,Buena Vista
304,8754,Don Hahn,Gary Trousdale,,Buena Vista
305,,"Mark Johnson, Barry Levinson and Warren Beatty",Barry Levinson,James Toback,Sony Pictures Home Entertainment
306,,A. Kitman Ho and Oliver Stone,Oliver Stone,"Oliver Stone, Zachary Sklar",Warner Bros.
307,,Barbra Streisand and Andrew S. Karsch,Barbra Streisand,"Pat Conroy, Becky Johnston, Jay Presson Allen",Sony Pictures Home Entertainment
308,,Clint Eastwood,Clint Eastwood,"Clint Eastwood, David Webb Peoples",Warner Bros. Pictures
309,,Stephen Woolley,Neil Jordan,Neil Jordan,Live Home Video
310,,"David Brown, Rob Reiner, and Andrew Scheinman",Rob Reiner,"Aaron Sorkin, Rob Reiner",Columbia Pictures
311,,Ismail Merchant,James Ivory,Ruth Prawer Jhabvala,Sony Pictures Home Entertainment
312,,Martin Brest,Martin Brest,Bo Goldman,Universal Pictures
313,,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",Steven Spielberg,Steven Zaillian,Universal Pictures
314,,Arnold Kopelson,Andrew Davis,"Jeb Stuart, Andrew Davis, Roy Huggins, David Twohy, David Newman, Walter Hill, David Giler, Robert Mark Kamen",Warner Bros. Pictures
315,,Jim Sheridan,Jim Sheridan,"Terry George, Jim Sheridan",Universal Pictures
316,,Jan Chapman,Jane Campion,Jane Campion,Miramax Films
317,,"Mike Nichols, John Calley, and Ismail Merchant",James Ivory,Ruth Prawer Jhabvala,Sony Pictures Home Entertainment
318,,"Wendy Finerman, Steve Tisch, and Steve Starkey",Robert Zemeckis,Eric Roth,Paramount Pictures
319,,Duncan Kenworthy,Mike Newell,"Richard Curtis, Mike Newell",Gramercy Pictures
320,,Lawrence Bender,Quentin Tarantino,"Quentin Tarantino, Roger Avary",Miramax Films
321,,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",Robert Redford,Paul Attanasio,Buena Vista Internationa
322,,Niki Marvin,Frank Darabont,Frank Darabont,Columbia Pictures
323,,"Mel Gibson, Alan Ladd Jr., and Bruce Davey",Mel Gibson,Randall Wallace,Paramount Pictures
324,,Brian Grazer,Ron Howard,"Al Reinert, William Broyles",Universal Pictures
325,30353,"Bill Miller, George Miller, and Doug Mitchell",Chris Noonan,Chris Noonan,Universal Pictures
326,,Saul Zaentz,Anthony Minghella,Anthony Minghella,Miramax Films
327,,Ethan Coen,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",Gramercy Pictures
328,27000,Jane Scott,Scott Hicks,"Jan Sardi, Scott Hicks",New Line Home Entertainment
329,,James Cameron and Jon Landau,James Cameron,James Cameron,Paramount Pictures
330,,"James L. Brooks, Bridget Johnson, and Kristi Zea",James L. Brooks,"Mark Andrus, James L. Brooks",TriStar Pictures
331,,Uberto Pasolini,Peter Cattaneo,"Simon Beaufoy, Simon Beaufor",Twentieth Century Fox Home Entertainment
332,,Lawrence Bender,Gus Van Sant,"Ben Affleck, Matt Damon, Gus Van Sant",Miramax Films
333,,"Curtis Hanson, Arnon Milchan, and Michael Nathanson",Curtis Hanson,"Curtis Hanson, Brian Helgeland",Warner Bros. Pictures
334,,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",John Madden (II),"Marc Norman, Tom Stoppard",Miramax
335,,"Alison Owen, Eric Fellner and Tim Bevan",Shekhar Kapur,Michael Hirst,Gramercy
336,,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",Steven Spielberg,"Scott Frank, Robert Rodat, Frank Darabont",Dreamworks Distribution
337,,"Robert Michael Geisler, John Roberdeau, and Grant Hill",Terrence Malick,Terrence Malick,20th Century Fox
338,,Bruce Cohen and Dan Jinks,Sam Mendes,Alan Ball,Dreamworks
339,,Richard N. Gladstein,Lasse Hallstrom,John Irving,Miramax
340,,Frank Darabont and David Valdes,Frank Darabont,Frank Darabont,Warner Bros. Pictures
341,,Pieter Jan Brugge and Michael Mann,Michael Mann,"Eric Roth, Michael Mann",Buena Vista Pictures
342,,"Frank Marshall, Kathleen Kennedy, and Barry Mendel",M. Night Shyamalan,M. Night Shyamalan,Hollywood/Buena Vista
343,,"Douglas Wick, David Franzoni, and Branko Lustig",Ridley Scott,"David H. Franzoni, William Nicholson, John Logan",Dreamworks Distribution LLC
344,,"David Brown, Kit Golden, and Leslie Holleran",Lasse Hallstrom,Robert Nelson Jacobs,Miramax
345,,"Danny DeVito, Michael Shamberg, and Stacey Sher",Steven Soderbergh,"Richard LaGravenese, Steven Soderbergh, Susannah Grant",Universal Pictures
346,,"Edward Zwick, Marshall Herskovitz, and Laura Bickford",Steven Soderbergh,Stephen Gaghan,USA Films
347,,Brian Grazer and Ron Howard,Ron Howard,Akiva Goldsman,Universal Pictures
348,,"Robert Altman, Bob Balaban, and David Levy",Robert Altman,"Julian Fellowes, James Fellowes",USA Films
349,,"Graham Leader, Ross Katz, and Todd Field",Todd Field,"Rob Festinger, Todd Field",Miramax Films
350,,"Peter Jackson, Fran Walsh, and Barrie M. Osborne",Peter Jackson,"Fran Walsh, Peter Jackson, Philippa Boyens",New Line Cinema
351,,"Martin Brown, Baz Luhrmann, and Fred Baron",Baz Luhrmann,"Baz Luhrmann, Craig Pearce",20th Century Fox
352,,Martin Richards,Rob Marshall,Bill Condon,Miramax Films
353,,Alberto Grimaldi and Harvey Weinstein,Martin Scorsese,"Jay Cocks, Steven Zaillian, Kenneth Lonergan",Miramax Films
354,,Scott Rudin and Robert Fox,Stephen Daldry,David Hare,Miramax Films
355,,"Barrie M. Osborne, Fran Walsh, and Peter Jackson",Peter Jackson,"Philippa Boyens, Stephen Sinclair, Fran Walsh",New Line Cinema
356,,"Roman Polanski, Robert Benmussa, and Alain Sarde",Roman Polanski,Ronald Harwood,Focus Features
357,,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",New Line Cinema
358,,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson",Peter Weir,"Peter Weir, John Collee",20th Century Fox
359,,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",Clint Eastwood,Brian Helgeland,WB
360,,"Kathleen Kennedy, Frank Marshall, and Gary Ross",Gary Ross,Gary Ross,Universal Pictures
361,,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",Clint Eastwood,"Clint Eastwood, Paul Haggis",Warner Bros. Pictures
362,,Michael Mann and Graham King,Martin Scorsese,John Logan,Miramax
363,,Richard N. Gladstein and Nellie Bellflower,Marc Forster,"David Magee, Marc Forster",Miramax Films
364,,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin",Taylor Hackford,"James L. White, Taylor Hackford, Jimmy ""Whirlwind"" White",Universal Pictures
365,,Michael London,Alexander Payne,"Alexander Payne, Jim Taylor (III)",Fox Searchlight Pictures
366,,Paul Haggis and Cathy Schulman,Paul Haggis,"Bobby Moresco, Paul Haggis",Lions Gate Films
367,,Diana Ossana and James Schamus,Ang Lee,"Larry McMurtry, Diana Ossana, Ang Lee",Focus Features
368,,"Caroline Baron, William Vince, and Michael Ohoven",Bennett Miller,Dan Futterman,Sony Pictures Classics
369,,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel",Steven Spielberg,"Tony Kushner, Eric Roth",Universal Pictures
370,,Graham King,Martin Scorsese,"William Monahan, Martin Scorsese",Warner Bros. Pictures
371,,"Alejandro González Iñárritu, Steve Golin, and Jon Kilik",Alejandro González Iñárritu,"Guillermo Arriaga Jordan, Guillermo Arriaga",Paramount Classics
372,,"Clint Eastwood, Steven Spielberg, and Robert Lorenz",Clint Eastwood,Iris Yamashita,Warner Bros. Pictures
373,,"David T. Friendly, Peter Saraf, and Marc Turtletaub","Jonathan Dayton, Valerie Faris","Michael Arndt, Jonathan Dayton",Fox Searchlight
374,,"Andy Harries, Christine Langan, and Tracey Seaward",Stephen Frears,Peter Morgan,Miramax Films
375,,"Scott Rudin, Joel Coen, and Ethan Coen","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",Miramax Films
376,,"Tim Bevan, Eric Fellner, and Paul Webster",Joe Wright,"Ian McEwan, Christopher Hampton",Focus Features
377,,"Lianne Halfon, Mason Novick, and Russell Smith",Jason Reitman,Diablo Cody,Fox Searchlight
378,,"Jennifer Fox, Kerry Orent, and Sydney Pollack",Tony Gilroy,Tony Gilroy,Warner Bros. Pictures
379,,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar",Paul Thomas Anderson,Paul Thomas Anderson,Paramount Vantage
380,,Christian Colson,Danny Boyle,"Danny Boyle, Simon Beaufoy",Fox Searchlight Pictures
381,,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin",David Fincher,"Eric Roth, Robin Swicord",Paramount
382,,"Ron Howard, Brian Grazer, and Eric Fellner",Ron Howard,Peter Morgan,Universal Pictures
383,16775,Bruce Cohen and Dan Jinks,Gus Van Sant,Dustin Lance Black,Focus Features
384,26271,Bruce Cohen and Dan Jinks,Gus Van Sant,Dustin Lance Black,Focus Features
385,,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris",Stephen Daldry,David Hare,The Weinstein Co./MGM
386,12663,James Cameron and Jon Landau,James Cameron,James Cameron,20th Century Fox
387,,"Gil Netter, Andrew A. Kosove, and Broderick Johnson",John Lee Hancock,John Lee Hancock,Warner Bros. Pictures
388,,Peter Jackson and Carolynne Cunningham,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell",Sony Pictures/Screen Gems
389,,Finola Dwyer and Amanda Posey,Lone Scherfig,Nick Hornby,Sony Classics
390,,Lawrence Bender,Quentin Tarantino,Quentin Tarantino,The Weinstein Company
391,,Joel Coen and Ethan Coen,"Roger Deakins, Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",Focus Features
392,,Jonas Rivera,"Linn Patrick, Pete Docter, Bob Peterson, Peter Docter","Bob Peterson, Pete Docter, Tom McCarthy, Ronnie del Carmen",Walt Disney Pictures
393,,"Daniel Dubiecki, Ivan Reitman, and Jason Reitman",Jason Reitman,"Sheldon Turner, Jason Reitman",Paramount Pictures
394,,"Iain Canning, Emile Sherman, and Gareth Unwin",Tom Hooper,David Seidler,The Weinstein Company
395,,"Danny Boyle, John Smithson, and Christian Colson",Danny Boyle,"Danny Boyle, Simon Beaufoy",Fox Searchlight
396,513,"Scott Franklin, Mike Medavoy, and Brian Oliver",Darren Aronofsky,"Andres Heinz, Mark Heyman, John J. McLaughlin",Fox Searchlight
397,,"David Hoberman, Todd Lieberman, and Mark Wahlberg",David O. Russell,"Eric Johnson, Scott Silver, Paul Tamasy, Paul Attanasio, David O. Russell",Paramount Pictures
398,,Christopher Nolan and Emma Thomas,Christopher Nolan,Christopher Nolan,Warner Bros. Pictures
399,,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray",Lisa Cholodenko,"Lisa Cholodenko, Stuart Blumberg",Focus Features
400,,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",David Fincher,"David Fincher, Aaron Sorkin",Columbia Pictures
401,,Darla K. Anderson,Lee Unkrich,"Lee Unkrich, Andrew Stanton, John Lasseter, Michael Arndt",Walt Disney Pictures
402,,"Joel Coen, Ethan Coen, and Scott Rudin","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",Paramount Pictures
403,,Alix Madigan and Anne Rosellini,Debra Granik,"Debra Granik, Anne Rosellini",Roadside Attractions
404,29656,Thomas Langmann,Michel Hazanavicius,Michel Hazanavicius,The Weinstein Company
405,,"Jim Burke, Alexander Payne, and Jim Taylor",Alexander Payne,"Jim Rash, Alexander Payne, Nat Faxon",Fox Searchlight Pictures
406,,"Brunson Green, Chris Columbus, and Michael Barnathan",Tate Taylor,Tate Taylor,DreamWorks Studios
407,,Graham King and Martin Scorsese,Martin Scorsese,John Logan,Paramount Studios
408,,Letty Aronson and Stephen Tenenbaum,Woody Allen,Woody Allen,Sony Pictures Classics
409,,"Michael De Luca, Rachael Horovitz, and Brad Pitt",Bennett Miller,"Steven Zaillian, Aaron Sorkin",Sony Pictures
410,,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill",Terrence Malick,Terrence Malick,Fox Searchlight
411,,Steven Spielberg and Kathleen Kennedy,Steven Spielberg,"Richard Curtis, Lee Hall",Walt Disney Pictures
412,,"Grant Heslov, Ben Affleck, and George Clooney",Ben Affleck,Chris Terrio,Warner Bros. Pictures
413,,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz","Michael Haneke, Michaelhaneke","Michael Haneke, Michaelhaneke",Sony Pictures Classics
414,,"Dan Janvey, Josh Penn, and Michael Gottwald",Benh Zeitlin,"Benh Zeitlin, Lucy Alibar",Fox Searchlight
415,,"Stacey Sher, Reginald Hudlin, and Pilar Savone",Quentin Tarantino,Quentin Tarantino,The Weinstein Co.
416,,"Gil Netter, Ang Lee, and David Womark",Ang Lee,David Magee,20th Century Fox
417,,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",Tom Hooper,"Claude-Michel Schonberg, William Nicholson, Claude-Michel Schoenberg, Alain Boublil, Herbert Kretzmer",Universal Pictures
418,,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",David O. Russell,David O. Russell,The Weinstein Company
419,,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",Steve McQueen (III),John Ridley,Fox Searchlight
420,,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",David O. Russell,"Eric Warren Singer, David O. Russell",Sony Pictures
421,,"Scott Rudin, Dana Brunetti, and Michael De Luca",Paul Greengrass,Billy Ray,Sony Pictures
422,,Robbie Brenner and Rachel Winter,Jean-Marc Vallée,"Craig Borten, Melisa Wallack",Focus Features
423,,Alfonso Cuarón and David Heyman,Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón",Warner Bros. Pictures
424,,"Megan Ellison, Spike Jonze, and Vincent Landay",Spike Jonze,Spike Jonze,Warner Bros. Pictures
425,,Albert Berger and Ron Yerxa,Alexander Payne,Bob Nelson,Paramount Pictures
426,,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",Stephen Frears,"Jeff Pope, Steve Coogan",The Weinstein Company
427,,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",Martin Scorsese,Terence Winter,Paramount Studios
428,,Richard Linklater and Cathleen Sutherland,Richard Linklater,Richard Linklater,IFC Films
429,,"Wes Anderson, Scott Rudin, Steven M. Rales, and Jeremy Dawson",Wes Anderson,"Hugo Guinness, Wes Anderson",Fox Searchlight
430,,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",Morten Tyldum,Graham Moore,The Weinstein Company
431,,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",Ava DuVernay,Paul Webb,Paramount Pictures
432,,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",James Marsh,Anthony McCarten,Focus Features
433,,"Jason Blum, Helen Estabrook, and David Lancaster",Damien Chazelle,Damien Chazelle,Sony Pictures Classics
434,,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",,Josh Singer,Open Road Films
435,,"Dede Gardner, Jeremy Kleiner, and Brad Pitt",Adam McKay,"Adam McKay, Charles Randolph",Paramount Pictures
436,,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",Steven Spielberg,"Matthew Charman, Steven Spielberg, Matt Charman, Ethan Coen, Joel Coen",Dreamworks Pictures
437,,Finola Dwyer and Amanda Posey,John Crowley,Nick Hornby,Fox Searchlight Pictures
438,,Doug Mitchell and George Miller,George Miller,"Brendan McCarthy, Nick Lathouris, George Miller",Warner Bros.
439,,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",Ridley Scott,"Ridley Scott, Drew Goddard",20th Century Fox
440,3122,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon","Alejandro González Iñárritu, Manny Palo","Mark L. Smith, Alejandro González Iñárritu",20th Century Fox
441,,Ed Guiney,Lenny Abrahamson,Emma Donoghue,Element Pictures
442,,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",Barry Jenkins (III),Barry Jenkins (III),A24 Films
443,,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",Denis Villeneuve,Eric Heisserer,21 Laps Entertainment
444,,"Scott Rudin, Denzel Washington, and Todd Black",Denzel Washington,August Wilson,Paramount Pictures
445,,Bill Mechanic and David Permut,Mel Gibson,"Andrew Knight, Robert Schenkkan",Summit Entertainment
446,,Carla Hacken and Julie Yorn,David Mackenzie,Taylor Sheridan,Film 44
447,,"Fred Berger, Jordan Horowitz, and Marc Platt",Damien Chazelle,Damien Chazelle,Liongate Films
448,,"Emile Sherman, Iain Canning, and Angie Fielder",Garth Davis,"Saroo Brierley, Luke Davies",See-Saw Films
449,,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",Kenneth Lonergan,Kenneth Lonergan,Roadside Attractions 
450,,Guillermo del Toro and J. Miles Dale,Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor",Fox Searchlight Pictures
451,,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",Joe Wright,Anthony McCarten,Focus Features
452,,Emma Thomas and Christopher Nolan,Christopher Nolan,Christopher Nolan,Warner Bros. Pictures
453,182,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",Jordan Peele,Jordan Peele,Universal Pictures
454,,"Scott Rudin, Eli Bush, and Evelyn O'Neill",Greta Gerwig,Greta Gerwig,A24
455,,"Graham Broadbent, Pete Czernin, and Martin McDonagh",Martin McDonagh,Martin McDonagh,Fox Searchlight Pictures
456,,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",Peter Farrelly,"Nick Vallelonga, Peter Farrelly, Brian Currie",Universal Pictures
457,,Kevin Feige,Ryan Coogler,"Joe Robert Cole, Ryan Coogler",Marvel Studios
458,,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee",Focus Features
459,,Graham King,Bryan Singer,Anthony McCarten,20th Century Fox
460,,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",Yorgos Lanthimos,"Deborah Davis, Tony McNamara","Fox Searchlight Pictures, Film4 and Waypoint"
461,,Gabriela Rodríguez and Alfonso Cuarón,Alfonso Cuarón,Alfonso Cuarón,Netflix
462,,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",Bradley Cooper,"Will Fetters, Eric Roth, Bradley Cooper",Warner Bros. Pictures
463,,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",Adam McKay,Adam McKay,Annapurna Pictures
464,,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",Martin Scorsese,Steven Zaillian,Netflix
465,,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff",Todd Phillips,"Todd Phillips, Scott Silver",Warner Bros. Pictures
466,,Noah Baumbach and David Heyman,Noah Baumbach,Noah Baumbach,Netflix
